Ссылка,Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Аварийность,Газоснабжение,Мусоропровод
https://www.cian.ru/rent/flat/294240127/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,50000,Киевская,True,True,True,True,True,True,,36,"17,5",10,2.64,Блочный,Железобетонные,Наземная,1 совмещенный,Во двор,2 пассажирских,1973,1,Косметический,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294258596/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Кузьминки,True,True,True,True,True,True,,65,40,10,2.64,Панельный,Железобетонные,,1 раздельный,Во двор,"1 пассажирский, 2 грузовых",2006,3,Дизайнерский,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294426571/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Аминьевская,True,True,True,True,True,True,,45,30,7,2.5,Монолитный,Железобетонные,Наземная,1 раздельный,Во двор,1 пассажирский,1967,9,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294516973/,Москва,60000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,60000,Матвеевская,True,True,True,True,False,True,,"40,5",18,10,3.0,Панельный,Железобетонные,Наземная,1 совмещенный,На улицу,"2 пассажирских, 2 грузовых",2006,1,Косметический,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294492286/,Москва,60000,включена (без счётчиков),от года,,50%,1 месяц,60000,Яхромская,True,True,True,True,True,True,,24,10,10,2.8,Монолитный,Железобетонные,Подземная,1 совмещенный,Во двор,"2 пассажирских, 1 грузовой",2018,12,Евроремонт,Индивидуальный тепловой пункт,Нет,,
https://www.cian.ru/rent/flat/294488438/,Москва,60000,включена (без счётчиков),от года,,,1 месяц,60000,Бульвар Рокоссовского,True,True,True,True,False,False,,"38,8",17,11,3.0,,Железобетонные,,1 совмещенный,,"2 пассажирских, 2 грузовых",2021,3,Евроремонт,Центральное,Нет,,
https://www.cian.ru/rent/flat/294417501/,Москва,65000,включена (без счётчиков),от года,,50%,1 месяц,65000,Сокол,True,True,True,True,True,True,,42,,,,,Железобетонные,Наземная,1 раздельный,Во двор,1 пассажирский,1960,5,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294422938/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Раменки,True,True,True,True,True,True,,34,20,8,2.64,Панельный,Железобетонные,Наземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",1974,5,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294415948/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,55000,Спортивная,True,True,True,True,True,True,,37,20,8,,Блочный,Железобетонные,Наземная,1 совмещенный,На улицу,"1 пассажирский, 1 грузовой",1966,1,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294485490/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Черкизовская,True,True,True,True,True,True,,52,32,7,2.64,Панельный,Железобетонные,Наземная,1 совмещенный,Во двор,,1965,7,Евроремонт,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/294417440/,Москва,60000,включена (без счётчиков),от года,,50%,1 месяц,60000,Октябрьское поле,True,True,True,True,True,True,,57,35,8,3.0,Кирпичный,Железобетонные,,1 раздельный,,,1955,3,Косметический,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/211699016/,Москва,265000,включена (без счётчиков),от года,можно с детьми,,1 месяц,265000,Третьяковская,True,True,True,True,True,True,Апартаменты,116,,,,Монолитный,Нет информации,Подземная,2 совмещенных,Во двор,1 пассажирский,2014,,Дизайнерский,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/293630706/,Москва,64000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,64000,Перово,True,True,True,True,True,True,,80,54,10,2.7,Панельный,Деревянные,Наземная,1 раздельный,Во двор,"1 пассажирский, 1 грузовой",2004,4,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294495939/,Москва,265000,включена (без счётчиков),от года,можно с детьми,,1 месяц,265000,Улица 1905 года,True,True,True,True,True,True,,80,,,3.2,Кирпичный,Железобетонные,Подземная,1 раздельный,На улицу,"2 пассажирских, 1 грузовой",2017,1,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Нет
https://www.cian.ru/rent/flat/293988452/,Москва,60000,включена (без счётчиков),от года,,50%,1 месяц,60000,Пыхтино,True,True,True,True,True,False,,83,,10,2.64,Монолитный,Железобетонные,,,,"1 пассажирский, 2 грузовых",2013,7,Косметический,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/294340534/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Молодёжная,True,True,True,True,True,True,,42,25,8,2.64,Панельный,Нет информации,Наземная,1 совмещенный,Во двор,"2 пассажирских, 1 грузовой",1996,4,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294259739/,Москва,270000,включена (без счётчиков),от года,,,1 месяц,270000,Международная,False,False,False,False,False,False,Апартаменты,"66,8",,10,,Монолитный,,Подземная,1 совмещенный,На улицу и двор,1 пассажирский,,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/288107015/,Москва,280000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,280000,Павелецкая,True,True,True,True,True,True,,"137,3",81,12,3.2,Кирпичный,Железобетонные,,2 совмещенных,Во двор,2 пассажирских,2006,2,Дизайнерский,Индивидуальный тепловой пункт,Нет,,
https://www.cian.ru/rent/flat/283480698/,Москва,290000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,150000,Тестовская,True,True,True,True,True,True,Апартаменты,85,,15,,Монолитный,Нет информации,,"1 совмещенный, 1 раздельный",На улицу и двор,,2020,,Дизайнерский,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/280709020/,Москва,280000,включена (без счётчиков),от года,можно с детьми,,1 месяц,280000,Киевская,True,True,True,True,True,True,,151,74,14,3.3,Монолитный,Железобетонные,Подземная,2 совмещенных,На улицу и двор,"2 пассажирских, 2 грузовых",2012,4,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Нет
https://www.cian.ru/rent/flat/294259744/,Москва,270000,включена (без счётчиков),несколько месяцев,,,,270000,Деловой центр,False,False,False,False,False,False,Апартаменты,72,,20,,Монолитный,,Подземная,1 совмещенный,На улицу и двор,1 пассажирский,,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/283745244/,Москва,273000,включена (без счётчиков),от года,можно с детьми,,1 месяц,255000,Белорусская,True,True,False,False,True,False,Апартаменты,98,,,,Монолитный,Железобетонные,Подземная,2 совмещенных,На улицу и двор,,2019,5,Дизайнерский,Центральное,Нет,,
https://www.cian.ru/rent/flat/287087851/,Москва,280000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,320000,Тестовская,True,True,True,True,True,True,Апартаменты,85,,,3.9,Монолитный,Нет информации,,1 совмещенный,На улицу и двор,,2020,,Евроремонт,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/290505612/,Москва,270000,включена (без счётчиков),от года,,,1 месяц,270000,Тестовская,True,True,True,True,True,True,Апартаменты,85,,,,,,Подземная,1 совмещенный,,,,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/293697896/,Москва,280000,включена (без счётчиков),от года,можно с животными,,1 месяц,280000,Полянка,True,True,False,True,True,True,,126,,,,Кирпичный,Железобетонные,,2 раздельных,,6 пассажирских,2007,5,Без ремонта,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/293889823/,Москва,285000,включена (без счётчиков),от года,можно с детьми,,1 месяц,285000,Деловой центр,True,True,True,True,True,True,Апартаменты,108,80,8,3.0,Монолитный,Нет информации,Наземная,"1 совмещенный, 1 раздельный",На улицу,"5 пассажирских, 1 грузовой",2010,,Евроремонт,Нет информации,Нет,,
https://www.cian.ru/rent/flat/292458615/,Москва,299000,включена (без счётчиков),от года,,,1 месяц,299000,Охотный ряд,True,True,True,True,True,True,Апартаменты,"50,5",,,3.2,Монолитный,,Подземная,"1 совмещенный, 1 раздельный",,"1 пассажирский, 1 грузовой",,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/293723918/,Москва,320000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,320000,Тестовская,True,True,True,True,True,True,Апартаменты,95,,,3.9,Монолитный,Нет информации,,,,,2020,,Дизайнерский,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/287186568/,Москва,290000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,150000,Тестовская,True,True,True,True,True,True,Апартаменты,86,,,,,,,,,,,,Дизайнерский,,,,Нет
https://www.cian.ru/rent/flat/293077131/,Москва,300000,включена (без счётчиков),от года,можно с детьми,,1 месяц,300000,Третьяковская,True,True,True,True,True,True,,138,,10,,Монолитный,Нет информации,Подземная,2 совмещенных,На улицу и двор,,2012,,Дизайнерский,Нет информации,Нет,,
https://www.cian.ru/rent/flat/293713706/,Москва,300000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,300000,Арбатская,True,True,True,True,True,True,,135,,,,,Нет информации,,2 совмещенных,Во двор,,1914,15,Дизайнерский,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/285091477/,Москва,320000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,320000,Арбатская,True,True,True,True,True,True,,134,,,3.25,Кирпичный,Деревянные,Наземная,"1 совмещенный, 1 раздельный",На улицу и двор,,1910,1,Евроремонт,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/292795544/,Москва,290000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,290000,Тестовская,True,True,True,True,True,True,Апартаменты,65,,,3.9,Монолитный,Нет информации,,1 совмещенный,На улицу и двор,,2020,,Дизайнерский,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/294393168/,Москва,300000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,300000,Щукинская,True,True,True,True,True,False,,130,,,3.1,Кирпичный,Железобетонные,Подземная,2 раздельных,,"2 пассажирских, 2 грузовых",2003,1,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/168994530/,Москва,300000,включена (без счётчиков),от года,,,1 месяц,300000,Полянка,True,True,True,True,True,True,,125,,"14,6",,Кирпичный,Железобетонные,Подземная,2 совмещенных,Во двор,"2 пассажирских, 1 грузовой",2007,5,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/291555482/,Москва,300000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,300000,Тестовская,True,True,True,True,True,True,Апартаменты,90,,30,,,,,1 совмещенный,,,,,Дизайнерский,,,,Нет
https://www.cian.ru/rent/flat/290582845/,Москва,350000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,350000,Тестовская,True,True,True,True,True,True,Апартаменты,105,,,,,,Подземная,2 совмещенных,,,,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/293935108/,Москва,340000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,340000,Выставочная,True,True,True,True,True,True,Апартаменты,94,,,3.4,Монолитный,Нет информации,,2 раздельных,,,2013,,Без ремонта,Нет информации,Нет,,Да
https://www.cian.ru/rent/flat/163640845/,Москва,320000,включена (без счётчиков),от года,можно с детьми,,1 месяц,320000,Щукинская,True,True,True,True,True,True,,180,,,,,Железобетонные,Подземная,"2 совмещенных, 1 раздельный",Во двор,"1 пассажирский, 1 грузовой",2004,2,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/294286294/,Москва,350000,включена (без счётчиков),от года,,50%,1 месяц,350000,Белорусская,True,True,True,True,True,True,,70,,,3.0,Монолитный,,Подземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/294501080/,Москва,120000,включена (без счётчиков),от года,можно с детьми,40%,1 месяц,120000,Выставочная,True,True,True,True,True,True,,55,40,6,3.2,,Нет информации,Наземная,1 совмещенный,Во двор,1 пассажирский,1941,6,Дизайнерский,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/294393868/,Москва,330000,включена (без счётчиков),от года,,,1 месяц,330000,Петровский Парк,True,True,True,True,True,True,Апартаменты,85,,,2.9,Монолитный,Нет информации,Подземная,2 совмещенных,На улицу,"2 пассажирских, 1 грузовой",2019,,Дизайнерский,Нет информации,Нет,,Нет
https://www.cian.ru/rent/flat/294435543/,Москва,120000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,120000,Строгино,True,True,True,True,True,True,,98,75,9,2.8,Блочный,Железобетонные,Наземная,1 совмещенный,Во двор,4 пассажирских,2012,1,Дизайнерский,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294235126/,Москва,120000,включена (без счётчиков),от года,можно с детьми,30%,1 месяц,120000,Дмитровская,True,True,True,True,True,True,,45,16,21,2.8,Монолитный,Железобетонные,Подземная,1 совмещенный,На улицу,"4 пассажирских, 4 грузовых",2021,3,Евроремонт,Центральное,Нет,,
https://www.cian.ru/rent/flat/294461509/,Москва,350000,включена (без счётчиков),от года,,,1 месяц,350000,Тестовская,True,True,True,False,True,True,Апартаменты,100,,,3.9,Монолитный,Нет информации,Подземная,2 совмещенных,Во двор,"4 пассажирских, 2 грузовых",2020,,Дизайнерский,Нет информации,Нет,,
https://www.cian.ru/rent/flat/294501179/,Москва,120000,включена (без счётчиков),от года,можно с детьми и животными,40%,1 месяц,120000,Нагорная,True,True,True,True,True,True,,64,45,10,3.3,Кирпичный,Нет информации,Наземная,1 совмещенный,Во двор,1 пассажирский,2012,3,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/293484083/,Москва,120000,включена (без счётчиков),от года,,,1 месяц,120000,Проспект Мира,True,True,True,True,True,True,,90,,15,3.0,Монолитный,Железобетонные,Подземная,2 совмещенных,,"1 пассажирский, 1 грузовой",2005,3,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294165054/,Москва,120000,включена (без счётчиков),от года,можно с детьми и животными,40%,1 месяц,120000,Бауманская,True,True,True,True,True,True,,65,46,10,,Панельный,Железобетонные,Наземная,1 совмещенный,,"1 пассажирский, 1 грузовой",1983,1,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/292061752/,Москва,120000,включена (без счётчиков),от года,можно с детьми,,1 месяц,120000,Новые Черёмушки,True,True,True,True,True,True,,100,36,50,3.0,Монолитный,Железобетонные,Подземная,1 совмещенный,Во двор,"1 пассажирский, 3 грузовых",2010,1,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/294349489/,Москва,120000,включена (без счётчиков),от года,,,1 месяц,120000,Добрынинская,True,True,True,True,True,True,,50,35,10,3.2,Кирпичный,Железобетонные,Наземная,1 совмещенный,Во двор,1 пассажирский,1946,6,Дизайнерский,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/293376495/,Москва,120000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,120000,Водный стадион,True,True,True,True,True,True,,62,40,12,,Монолитный,Железобетонные,Подземная,1 совмещенный,Во двор,"2 пассажирских, 2 грузовых",2021,2,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/293897152/,Москва,120000,включена (без счётчиков),от года,,,1 месяц,120000,Панфиловская,True,True,True,True,True,False,,56,37,5,,Монолитный,Нет информации,Подземная,1 совмещенный,Во двор,,2012,,Дизайнерский,Нет информации,Нет,,
https://www.cian.ru/rent/flat/293795517/,Москва,120000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,120000,Улица 1905 года,True,True,True,True,True,True,,83,56,9,3.0,Кирпичный,Железобетонные,Наземная,1 совмещенный,Во двор,1 пассажирский,1959,8,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294389705/,Москва,120000,включена (без счётчиков),от года,,50%,1 месяц,200000,Арбатская,True,True,True,True,True,True,,40,20,10,,Кирпичный,Деревянные,,,,,1878,2,Косметический,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/294254463/,Москва,120000,включена (без счётчиков),от года,можно с детьми,,1 месяц,120000,Дмитровская,True,True,True,True,True,True,,42,20,10,2.8,Монолитный,Железобетонные,Подземная,1 совмещенный,На улицу,"3 пассажирских, 2 грузовых",2021,3,Евроремонт,Центральное,Нет,,
https://www.cian.ru/rent/flat/294339551/,Москва,120000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,120000,Аминьевская,True,True,True,True,True,True,,70,48,12,3.1,,Нет информации,Наземная,1 совмещенный,Во двор,"2 пассажирских, 2 грузовых",2022,,Евроремонт,Нет информации,Нет,,Да
https://www.cian.ru/rent/flat/294020970/,Москва,130000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,130000,Кропоткинская,True,True,True,True,True,True,,100,64,15,3.4,,Деревянные,Наземная,1 совмещенный,,1 пассажирский,1911,1,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/293376376/,Москва,130000,включена (без счётчиков),от года,,50%,1 месяц,130000,Народное Ополчение,True,True,True,True,True,True,,97,,15,3.0,,Нет информации,Подземная,"1 совмещенный, 1 раздельный",Во двор,3 пассажирских,2006,7,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/287533600/,Москва,135000,включена (без счётчиков),от года,можно с детьми и животными,,1 месяц,135000,Крылатское,True,True,True,True,True,True,,100,58,10,2.8,,Нет информации,Подземная,"1 совмещенный, 1 раздельный",На улицу,2 пассажирских,1998,1,Косметический,Центральное,Нет,,
https://www.cian.ru/rent/flat/294452356/,Москва,130000,включена (без счётчиков),от года,,50%,1 месяц,130000,Улица 1905 года,True,True,True,True,True,True,,50,,,3.0,Монолитный,,Подземная,1 совмещенный,,"4 пассажирских, 2 грузовых",,,Дизайнерский,,,,Нет
https://www.cian.ru/rent/flat/294419733/,Москва,130000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,130000,Кутузовская,True,True,True,True,True,True,,100,70,15,3.0,,Нет информации,Наземная,1 раздельный,Во двор,1 пассажирский,1956,4,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294389795/,Москва,135000,включена (без счётчиков),от года,можно с детьми,,1 месяц,135000,Народное Ополчение,True,True,True,True,True,True,,90,40,15,3.1,Монолитный,Железобетонные,Подземная,"1 совмещенный, 1 раздельный",На улицу и двор,"2 пассажирских, 2 грузовых",2011,1,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294514594/,Москва,135000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,135000,Цветной бульвар,True,True,True,True,True,True,,45,22,10,,Кирпичный,Деревянные,Наземная,1 совмещенный,,,1875,1,Дизайнерский,Центральное,Нет,,
https://www.cian.ru/rent/flat/170134053/,Москва,139000,включена (без счётчиков),от года,можно с детьми,,1 месяц,100000,Курская,True,True,True,True,True,True,,78,53,12,3.2,Сталинский,,Многоуровневая,1 раздельный,Во двор,1 пассажирский,,,Евроремонт,,,,
https://www.cian.ru/rent/flat/294441667/,Москва,130000,включена (без счётчиков),от года,,50%,1 месяц,130000,Фили,True,True,True,True,True,True,,"45,6",16,18,3.0,,Железобетонные,Подземная,1 совмещенный,,"2 пассажирских, 2 грузовых",2020,10,Косметический,Индивидуальный тепловой пункт,Нет,,Нет
https://www.cian.ru/rent/flat/294312737/,Москва,130000,включена (без счётчиков),от года,,,1 месяц,130000,Октябрьское поле,True,True,True,True,True,True,,65,39,10,,Монолитно-кирпичный,,Многоуровневая,1 совмещенный,На улицу,"2 пассажирских, 2 грузовых",,,Дизайнерский,,,,Да
https://www.cian.ru/rent/flat/294043586/,Москва,140000,включена (без счётчиков),от года,,,1 месяц,140000,Смоленская,True,True,True,True,True,True,,"58,6",,7,,Кирпичный,Железобетонные,Открытая,1 совмещенный,На улицу и двор,1 пассажирский,1966,2,Дизайнерский,Центральное,Нет,Центральное,
https://www.cian.ru/rent/flat/292106075/,Москва,145000,включена (без счётчиков),от года,,45%,1 месяц,145000,Фили,True,True,True,True,True,True,,48,,,3.0,,Железобетонные,,1 совмещенный,Во двор,"2 пассажирских, 2 грузовых",2020,10,Дизайнерский,Индивидуальный тепловой пункт,Нет,,
https://www.cian.ru/rent/flat/294178065/,Москва,80000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,80000,Поклонная,True,True,True,True,True,True,,58,34,10,2.7,Панельный,Железобетонные,Наземная,1 раздельный,Во двор,"2 пассажирских, 1 грузовой",1999,2,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/273866069/,Москва,80000,включена (без счётчиков),от года,можно с детьми,60%,1 месяц,80000,Новослободская,True,True,True,True,True,True,,40,30,4,,Кирпичный,Нет информации,Наземная,1 совмещенный,На улицу,,1888,1,Евроремонт,Центральное,Нет,,
https://www.cian.ru/rent/flat/294258303/,Москва,80000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,80000,Спартак,True,True,True,True,True,True,,55,30,12,3.0,Монолитный,Железобетонные,,1 раздельный,Во двор,3 грузовых,2022,6,Дизайнерский,Индивидуальный тепловой пункт,Нет,,
https://www.cian.ru/rent/flat/291636662/,Москва,140000,включена (без счётчиков),от года,можно с детьми,40%,1 месяц,140000,Строгино,True,True,True,True,True,True,,101,,,,,Железобетонные,Подземная,2 совмещенных,Во двор,"2 пассажирских, 2 грузовых",2011,1,Дизайнерский,Центральное,Нет,,
https://www.cian.ru/rent/flat/294390492/,Москва,80000,включена (без счётчиков),от года,,50%,1 месяц,80000,Сухаревская,True,True,True,True,True,True,Апартаменты,22,,,,,,,,,,,,Дизайнерский,,,,
https://www.cian.ru/rent/flat/294018840/,Москва,80000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,80000,Достоевская,True,True,True,True,True,True,,46,30,8,,Блочный,Железобетонные,Наземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",1974,1,Евроремонт,Центральное,Нет,,Да
